,year,month,day,weekday,transaction_amount
2023-03-31,2023,3,31,4,1537.8914
2023-04-01,2023,4,1,5,1013.397
2023-04-02,2023,4,2,6,1005.50714
2023-04-03,2023,4,3,0,817.5202
2023-04-04,2023,4,4,1,808.79
2023-04-05,2023,4,5,2,685.3823
2023-04-06,2023,4,6,3,643.3652
2023-04-07,2023,4,7,4,619.7043
2023-04-08,2023,4,8,5,709.5741
2023-04-09,2023,4,9,6,717.1124
2023-04-10,2023,4,10,0,901.1316
2023-04-11,2023,4,11,1,884.18225
2023-04-12,2023,4,12,2,859.08936
2023-04-13,2023,4,13,3,869.6878
2023-04-14,2023,4,14,4,884.79
2023-04-15,2023,4,15,5,835.7442
2023-04-16,2023,4,16,6,894.8761
2023-04-17,2023,4,17,0,977.7796
2023-04-18,2023,4,18,1,886.00806
2023-04-19,2023,4,19,2,901.14105
2023-04-20,2023,4,20,3,844.4649
2023-04-21,2023,4,21,4,870.4825
2023-04-22,2023,4,22,5,729.9153
2023-04-23,2023,4,23,6,803.0577
2023-04-24,2023,4,24,0,978.0096
2023-04-25,2023,4,25,1,901.39996
2023-04-26,2023,4,26,2,877.8993
2023-04-27,2023,4,27,3,883.1292
2023-04-28,2023,4,28,4,816.41254
2023-04-29,2023,4,29,5,715.6483
